,interv,week,Q_emm_bar,SE_emm
1,CON,36,-7.02,6.92
2,ADF,36,-7.06,7.71
3,CR,36,-2.85,6.41
4,CON,48,-9.69,7.18
5,ADF,48,0.68,6.7
6,CR,48,1.99,6.26
