,interv,week,Q_emm_bar,SE_emm
1,CON,36,1.21,7.28
2,ADF,36,-0.27,6.78
3,CR,36,0.28,6.7
4,CON,48,0.75,6.66
5,ADF,48,-2.77,6.17
6,CR,48,-0.42,6.45
