,interv,week,Q_emm_bar,SE_emm
1,CON,1,64.13,4.67
2,ADF,1,76.96,3.67
3,CR,1,75.89,3.85
4,CON,12,75.9,4.82
5,ADF,12,76.53,4.08
6,CR,12,80.55,4.29
7,CON,24,72.46,5.55
8,ADF,24,72.12,4.67
9,CR,24,71.61,4.95
10,CON,36,66.4,6.21
11,ADF,36,64.07,6.23
12,CR,36,70.88,6.17
13,CON,48,69.29,5.48
14,ADF,48,74.29,5.54
15,CR,48,77.2,4.63
