,interv,week,Q_emm_bar,SE_emm
1,CON,1,63.51,5.25
2,ADF,1,73.46,4.33
3,CR,1,72.35,4.62
4,CON,12,70.46,5.49
5,ADF,12,72.61,5.08
6,CR,12,77.4,4.96
7,CON,24,73.5,6.3
8,ADF,24,69.23,5.44
9,CR,24,66.15,5.92
10,CON,36,65.37,7.5
11,ADF,36,62.8,6.07
12,CR,36,66.06,6.35
13,CON,48,70.5,6.25
14,ADF,48,74.69,6.55
15,CR,48,73.24,5.51
