,interv,week,Q_emm_bar,SE_emm
1,CON,36,-8.1,10.41
2,ADF,36,-6.43,8.18
3,CR,36,-0.1,8.29
4,CON,48,-2.98,9.07
5,ADF,48,5.45,8.77
6,CR,48,7.08,7.75
