,interv,week,Q_emm_bar,SE_emm
1,CON,12,1.14,0.67
2,ADF,12,-0.96,0.65
3,CR,12,0.5,0.55
4,CON,24,0.74,0.75
5,ADF,24,0.09,0.77
6,CR,24,0.31,0.66
7,CON,36,-0.28,0.72
8,ADF,36,-0.72,0.81
9,CR,36,-0.84,0.67
10,CON,48,0.3,0.68
11,ADF,48,-0.21,0.68
12,CR,48,0,0.61
