,interv,week,Q_emm_bar,SE_emm
1,CON,12,1.18,5.06
2,ADF,12,5.01,4.19
3,CR,12,8.77,4.52
4,CON,24,-2.27,5.73
5,ADF,24,0.6,4.89
6,CR,24,-0.18,4.99
7,CON,36,-8.33,6.39
8,ADF,36,-7.45,6.41
9,CR,36,-0.9,6.38
10,CON,48,-5.44,5.79
11,ADF,48,2.77,5.74
12,CR,48,5.41,4.82
