,interv,week,Q_emm_bar,SE_emm
1,CON,12,0.87,0.64
2,ADF,12,-0.38,0.65
3,CR,12,0.29,0.55
4,CON,24,0.57,0.76
5,ADF,24,-0.12,0.72
6,CR,24,-0.08,0.71
7,CON,36,-0.44,0.69
8,ADF,36,-0.6,0.72
9,CR,36,-0.61,0.68
10,CON,48,0.05,0.7
11,ADF,48,-0.1,0.7
12,CR,48,-0.02,0.67
