,interv,week,Q_emm_bar,SE_emm
1,CON,12,1.61,5.14
2,ADF,12,3.38,4.55
3,CR,12,6.08,4.48
4,CON,24,4.43,4.81
5,ADF,24,2.81,4.6
6,CR,24,4.42,4.95
7,CON,36,-1.99,5.8
8,ADF,36,-4.63,6.38
9,CR,36,1.42,4.97
10,CON,48,-4.66,5.65
11,ADF,48,3.11,5.26
12,CR,48,6.26,5
