,interv,week,Q_emm_bar,SE_emm
1,CON,12,-1.15,5.8
2,ADF,12,3.49,5.29
3,CR,12,8,5.28
4,CON,24,1.89,6.56
5,ADF,24,0.11,5.59
6,CR,24,-3.25,6.18
7,CON,36,-6.23,7.61
8,ADF,36,-6.31,6.45
9,CR,36,-3.34,6.62
10,CON,48,-1.11,6.49
11,ADF,48,5.57,6.72
12,CR,48,3.84,5.77
