,interv,week,Q_emm_bar,SE_emm
1,CON,1,6.59,0.61
2,ADF,1,4.65,0.5
3,CR,1,5.97,0.49
4,CON,12,6.63,0.65
5,ADF,12,5.02,0.6
6,CR,12,6.15,0.54
7,CON,24,6.23,0.71
8,ADF,24,6.06,0.71
9,CR,24,5.96,0.64
10,CON,36,5.22,0.69
11,ADF,36,5.26,0.79
12,CR,36,4.81,0.64
13,CON,48,5.8,0.65
14,ADF,48,5.77,0.66
15,CR,48,5.64,0.6
