,interv,week,Q_emm_bar,SE_emm
1,CON,36,-1.05,1.02
2,ADF,36,-0.43,1.05
3,CR,36,-0.55,0.94
4,CON,48,-0.56,1.06
5,ADF,48,0.07,0.99
6,CR,48,0.04,0.95
