,interv,week,Q_emm_bar,SE_emm
1,CON,36,-6.83,8.76
2,ADF,36,-7.64,7.51
3,CR,36,-0.45,7.73
4,CON,48,-3.93,7.94
5,ADF,48,2.57,7.19
6,CR,48,5.87,6.62
