,interv,week,Q_emm_bar,SE_emm
1,CON,36,0.59,0.99
2,ADF,36,0.32,0.97
3,CR,36,0,1.01
4,CON,48,0.22,0.93
5,ADF,48,0.14,0.85
6,CR,48,-0.17,0.85
