,interv,week,Q_emm_bar,SE_emm
1,CON,12,-0.17,0.66
2,ADF,12,0.72,0.63
3,CR,12,-0.7,0.56
4,CON,24,-0.77,0.73
5,ADF,24,-0.22,0.68
6,CR,24,-0.11,0.69
7,CON,36,-0.19,0.68
8,ADF,36,0.12,0.74
9,CR,36,-0.12,0.72
10,CON,48,-0.56,0.68
11,ADF,48,-0.06,0.66
12,CR,48,-0.29,0.59
