,interv,week,Q_emm_bar,SE_emm
1,CON,36,-0.95,1.04
2,ADF,36,-0.88,1.1
3,CR,36,-1.14,0.87
4,CON,48,-0.37,1.01
5,ADF,48,-0.37,0.98
6,CR,48,-0.3,0.78
