,interv,week,Q_emm_bar,SE_emm
1,CON,12,4.48,5.55
2,ADF,12,0.18,4.61
3,CR,12,6,4.88
4,CON,24,6.11,5.56
5,ADF,24,0.81,4.89
6,CR,24,4.91,5.48
7,CON,36,-0.25,5.85
8,ADF,36,-7.3,6.94
9,CR,36,0.21,5.41
10,CON,48,-3.6,5.89
11,ADF,48,-0.5,6.13
12,CR,48,3.84,5.7
