,interv,week,Q_emm_bar,SE_emm
1,CON,12,-3.48,6.89
2,ADF,12,-1.76,6.13
3,CR,12,-8.69,5.78
4,CON,24,0.58,8.04
5,ADF,24,-3.26,8.2
6,CR,24,-0.73,7.29
7,CON,36,3.64,8.52
8,ADF,36,-1.53,8.05
9,CR,36,1.46,7.43
10,CON,48,1.15,8.32
11,ADF,48,-2.83,7.11
12,CR,48,-0.65,7.39
