,interv,week,Q_emm_bar,SE_emm
1,CON,12,-1.41,4.2
2,ADF,12,-4.62,3.93
3,CR,12,-6.19,3.75
4,CON,24,0.5,5.15
5,ADF,24,-2.77,5.14
6,CR,24,-1.97,4.97
7,CON,36,1.56,5.74
8,ADF,36,-2.84,5.73
9,CR,36,-1.75,4.46
10,CON,48,1.1,5.18
11,ADF,48,-5.34,5.28
12,CR,48,-2.45,4.81
