,interv,week,Q_emm_bar,SE_emm
1,CON,36,-6.77,6.93
2,ADF,36,-7.97,7.86
3,CR,36,-4.47,7.1
4,CON,48,-10.12,7.49
5,ADF,48,-1.17,7.3
6,CR,48,-0.84,7.63
