,interv,week,Q_emm_bar,SE_emm
1,CON,1,71.34,4.4
2,ADF,1,81.11,4.39
3,CR,1,79.04,3.93
4,CON,12,80.47,4.78
5,ADF,12,79.79,4.14
6,CR,12,83.02,4.12
7,CON,24,83.29,4.59
8,ADF,24,79.23,4.48
9,CR,24,81.35,4.58
10,CON,36,76.87,5.62
11,ADF,36,71.78,6.07
12,CR,36,78.35,5.06
13,CON,48,74.2,5.41
14,ADF,48,79.52,5.05
15,CR,48,83.2,4.79
