,interv,week,Q_emm_bar,SE_emm
1,CON,1,71.01,5.08
2,ADF,1,79.86,4.5
3,CR,1,81.73,4.45
4,CON,12,83.95,5.19
5,ADF,12,77.43,4.4
6,CR,12,82.78,4.73
7,CON,24,85.57,5.2
8,ADF,24,78.06,4.57
9,CR,24,81.69,5.04
10,CON,36,79.21,5.53
11,ADF,36,69.95,6.58
12,CR,36,76.99,5
13,CON,48,75.86,5.73
14,ADF,48,76.75,5.75
15,CR,48,80.62,5.58
