,interv,week,Q_emm_bar,SE_emm
1,CON,12,3.27,4.27
2,ADF,12,7.63,3.9
3,CR,12,8.57,3.67
4,CON,24,4.68,5.13
5,ADF,24,8.56,4.97
6,CR,24,10.92,5.06
7,CON,36,8.71,4.91
8,ADF,36,9.6,5.15
9,CR,36,11.62,4.24
10,CON,48,2.58,4.94
11,ADF,48,8.77,4.81
12,CR,48,7.09,4.96
