,interv,week,Q_emm_bar,SE_emm
1,CON,36,4.04,6.84
2,ADF,36,1.07,6.44
3,CR,36,0.65,6.18
4,CON,48,-2.09,6.71
5,ADF,48,0.24,6.34
6,CR,48,-3.88,6.58
