,interv,week,Q_emm_bar,SE_emm
1,CON,36,3.03,11.39
2,ADF,36,1.92,10.41
3,CR,36,2.05,9.64
4,CON,48,0.54,10.09
5,ADF,48,0.61,10.66
6,CR,48,-0.06,9.93
